daila;1,444441191
degree;1,230990331
prequel;1,195639415
anti-semitism;1,103475441
wartime;1,101601969
sausage;1,099287679
transplanted;1,096356245
christs;1,089642433
lego;1,063389853
coerage;1,060066145
daniel;1,021772179
troublesome;0,97156092
khiladi;0,962960794
all-star;0,93314184
bottles;0,926789931
ex-football;0,918376335
sixty-something;0,897018746
professors;0,895419782
placement;0,89042302
garfield;0,87772802
powder;0,87587689
kaufman;0,872101559
mystic;0,872101559
retelling;0,854353064
diary;0,850366371
grotesque;0,842653973
meat;0,841296083
blart;0,839150017
unrest;0,838107279
portokalos;0,825826782
embarrassments;0,825394966
ferent;0,825394966
organizers;0,825394966
tennessee-set;0,825394966
unierses;0,825394966
predator;0,821525322
argentinian;0,82098351
eangelist;0,817525644
reincarnation;0,813087167
print;0,804223703
twisting;0,804223703
adersity;0,801880394
earp;0,80086449
influential;0,797415093
existential;0,797349996
biopic;0,795705855
punishes;0,792238778
cox;0,789679996
ten;0,788269443
pizza;0,783111604
recognized;0,783111604
school-teacher;0,783111604
outage;0,778923841
sportello;0,772432809
coen;0,765213135
arrials;0,764075707
salem;0,763938333
recounts;0,763623896
abortion;0,763252793
weddings;0,759806674
hatter;0,759380949
lauda;0,759015862
leukemia;0,759015862
niki;0,759015862
dewey;0,75844141
ultra-competitie;0,758349181
cascade;0,753203445
goerness;0,750447055
protects;0,750447055
cannibal;0,749915525
wormhole;0,749858931
nationalist;0,749796046
carefree;0,74821217
corleone;0,745703187
pianist;0,74521946
eroticism;0,744777469
poses;0,743111109
ancestral;0,741895203
shakespeares;0,738312413
afghanistan;0,734942412
troll;0,733586759
marrow;0,731833476
boxer;0,731398508
mater;0,731364713
headhunter;0,73052663
reoling;0,73052663
escobar;0,72967268
pablo;0,72967268
incarceration;0,725529868
ignettes;0,725249199
stray;0,722539172
commandments;0,722220595
once-famous;0,722220595
prestleys;0,722220595
sleepwalking;0,722220595
wepner;0,722220595
babbitts;0,722018991
lizzie;0,721899822
conflicting;0,720160381
hawking;0,719829858
kick;0,719471178
confines;0,718749161
gunslinger;0,718662969
compromising;0,713473438
address;0,713014901
benefit;0,712553077
cybertronian;0,71093501
jew;0,709591669
qualify;0,707352458
exonerate;0,705986976
karenina;0,705986976
ronsky;0,705986976
coaches;0,704095823
contend;0,702118704
life-affirming;0,701019435
rift;0,700425448
grendel;0,698975646
adaption;0,697681247
imperfections;0,697681247
interference;0,697681247
shifting;0,696984263
kumbh;0,696047333
mela;0,696047333
plus-sized;0,694650542
patrons;0,694527691
algerian;0,693150849
indiiduals;0,68965614
mathematicians;0,68850123
turing;0,68850123
crucial;0,687550778
disguises;0,687313622
upended;0,684720765
camaraderie;0,684614917
